x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
0.1158588,0.01343355,-0.2248373,0.4273064,-0.3570468,0.2427982,0.477451,-0.3312281,-0.2046694,0.085003,0.00712988,0.2249927,0,0.5,-0.225496,0,0.5,0.225496
0.08106405,0.005358495,-0.2243539,0.387891,-0.3439209,0.2569995,0.5040212,-0.2563294,-0.1701778,0.02637605,-4.410389e-05,0.2234446,0,0.5,-0.225496,0,0.5,0.225496
0.135674,0.0183541,-0.2220137,0.4665357,-0.2802871,0.2820858,0.5673648,-0.2246431,-0.1540312,0.0590848,0.003507614,0.2223215,0,0.5,-0.225496,0,0.5,0.225496
0.1662663,0.02780885,-0.2256052,0.5562089,-0.2784553,0.2256271,0.6109052,-0.2007413,-0.2152851,0.1585222,0.02484399,0.2253972,0,0.5,-0.225496,0,0.5,0.225496
0.2521627,0.06804911,-0.2251587,0.642619,-0.2317158,0.233171,0.6829168,-0.185597,-0.2136591,0.2358234,0.05874776,0.2253797,0,0.5,-0.225496,0,0.5,0.225496
0.3195984,0.1152225,-0.224287,0.6643517,-0.2357368,0.2345944,0.7253208,-0.1767528,-0.2083868,0.2834766,0.08791009,0.2244661,0,0.5,-0.225496,0,0.5,0.225496
0.3279845,0.1218141,-0.2243996,0.6305146,-0.2743939,0.2248951,0.7206346,-0.1872543,-0.2084482,0.2890043,0.09098737,0.2239878,0,0.5,-0.225496,0,0.5,0.225496
0.271816,0.0801058,-0.2248602,0.5816464,-0.3045012,0.2319855,0.6402864,-0.2577416,-0.212839,0.2417974,0.06211153,0.2248718,0,0.5,-0.225496,0,0.5,0.225496
0.1521803,0.02373778,-0.225149,0.466527,-0.3741086,0.2180513,0.4451556,-0.3814841,-0.2323773,0.173346,0.03084017,0.2252508,0,0.5,-0.225496,0,0.5,0.225496
0.0392779,0.0009824699,-0.2244759,0.2628967,-0.4603715,0.2091781,0.1502293,-0.4865998,-0.2266952,0.08474109,0.006549102,0.224308,0,0.5,-0.225496,0,0.5,0.225496
-0.05254344,0.002483472,-0.2243694,-0.0583326,-0.4975988,0.225759,-0.1363617,-0.4903499,-0.2183953,-0.007820514,-0.0001966826,0.2244308,0,0.5,-0.225496,0,0.5,0.225496
-0.1175343,0.01391013,-0.2252634,-0.3761959,-0.4196912,0.220152,-0.3661054,-0.4198835,-0.2306818,-0.1357553,0.01872741,0.2253418,0,0.5,-0.225496,0,0.5,0.225496
-0.2020418,0.04232356,-0.2244281,-0.5941252,-0.2935378,0.2066822,-0.5192204,-0.3441556,-0.2351367,-0.2443981,0.06345566,0.2241372,0,0.5,-0.225496,0,0.5,0.225496
-0.2698113,0.07864624,-0.2245935,-0.6835139,-0.2230376,0.2114633,-0.6169842,-0.2811213,-0.2308448,-0.3050944,0.103557,0.2244042,0,0.5,-0.225496,0,0.5,0.225496
-0.2960151,0.09700841,-0.2253535,-0.6648417,-0.2439896,0.2231915,-0.6570535,-0.2490056,-0.2277083,-0.3075617,0.105849,0.2254801,0,0.5,-0.225496,0,0.5,0.225496
-0.2764798,0.08309817,-0.2248487,-0.5623634,-0.3231242,0.2290286,-0.6187602,-0.2811809,-0.2163686,-0.2471317,0.06511539,0.2248862,0,0.5,-0.225496,0,0.5,0.225496
-0.1953356,0.03926364,-0.2244038,-0.3844562,-0.4196952,0.2285201,-0.481628,-0.3704671,-0.2092047,-0.1520607,0.02314184,0.2242891,0,0.5,-0.225496,0,0.5,0.225496
